id,"term","category",weight
1," 1 billion","26",6
2," 1 million","27",24
3," 1,000","27",12
4," 1,200","26",9
5," 100 million","27",6
6," 1200","26",12
7," 135","15",10
8," 1m","27",10
9," 2 million","27",12
10," 2 trillion","26",107
11," 200","27",6
12," 200","23",3
13," 2000","26",574
14," 250","25",7
15," 2t","26",9
16," 300","25",11
17," 34,927","19",33
18," 35,000 for","5",29
19," 5 million","27",12
20," 6 billion","29",25
21," cbc news","32",4
22," cbc news","2",19
23," ceo","6",14
24," claims strong","29",24
25," d","12",16
26," death rate","8",7
27," harvey weinstein","10",1
28," increase","35",12
29," man dies","8",11
30," march 23","17",1
31," march 23","37",4
32," new zealand","36",16
33," north carolina","25",1
34," north carolina","28",1
35," north carolina","4",1
36," nowthis","30",24
37," nurses","19",1
38," nurses","7",6
39," of","8",109
40," spy ","3",3
41," spy ","1",8
42," utility payments","26",18
43," weakened immune","34",18
44," zero hedge","12",33
45,"# 1","30",26
46,"# 1","3",27
47,"# 2","30",20
48,"# 2","37",10
49,"# 3","20",3
50,"# 3","3",8
51,"# 3","10",7
52,"#2020","33",34
53,"#2020","25",13
54,"#2020census","39",14
55,"#21dayslockdown","12",18
56,"#25thamendmentnow","0",8
57,"#3dprinting","9",26
58,"#3dprinting","10",6
59,"#45","16",3
60,"#45","0",10
61,"#5g","32",12
62,"#6feetapart","12",12
63,"#abortion","12",2
64,"#abortion","19",7
65,"#aca","9",12
66,"#academictwitter","38",3
67,"#academictwitter","22",9
68,"#acnh ","5",16
69,"#africa","21",8
70,"#africa","3",16
71,"#afterhours","33",11
72,"#afterhours","23",2
73,"#ai","9",33
74,"#ai","5",11
75,"#alabama","15",2
76,"#alabama","4",10
77,"#alaska","21",4
78,"#alaska","35",7
79,"#allinthistogether","33",4
80,"#allinthistogether","39",3
81,"#alonetogether","33",24
82,"#amazon","38",18
83,"#amazon","10",6
84,"#amazon","1",5
85,"#america","33",8
86,"#america","20",11
87,"#america","0",39
88,"#americafirst","0",10
89,"#american","34",15
90,"#american","0",3
91,"#americans","0",38
92,"#andrewcuomo","0",15
93,"#animalcrossing","33",12
94,"#animalcrossing ","5",16
95,"#animalcrossingnewhorizons","33",19
96,"#anxiety","34",40
97,"#apocalypse","33",16
98,"#apple","38",10
99,"#arizona","36",8
100,"#arizona","21",13
101,"#arizona","16",4
102,"#arkansas","36",2
103,"#arkansas","35",9
104,"#arnews","37",8
105,"#arnews","35",10
106,"#art","33",34
107,"#artist","33",7
108,"#artists","27",5
109,"#artists","21",2
110,"#askabbott","13",2
111,"#askabbott","29",6
112,"#askloral ","27",15
113,"#atl","33",7
114,"#atl","2",4
115,"#atlanta","33",26
116,"#atx","32",9
