id,"term","category",weight
1,"worrisome","16",0.125
2,"tire","16",0.125
3,"trap","16",0.285714285714286
4,"crash","16",0.171428571428571
5,"vermont","16",0.619047619047619
6,"worker","16",0.595744680851064
7,"switch","16",0.0344827586206897
8,"village","16",0.392857142857143
9,"prison","16",0.985401459854015
10,"native","16",0.542857142857143
11,"four weeks","16",0.571428571428571
12,"prior","16",0.0625
13,"#icu","16",0.0384615384615385
14,"improved","16",0.0303030303030303
15,"#cult45","16",0.2
16,"sign","16",0.00357142857142857
17,"74","16",0.777777777777778
18,"iowa","16",0.0451127819548872
19,"eleven","16",0.909090909090909
20,"began","16",0.00900900900900901
21,"more than half","16",0.310344827586207
22,"decision-making","16",0.166666666666667
23,"contracts","16",0.369565217391304
24,"emergency room","16",0.153846153846154
25,"promised","16",0.0333333333333333
26,"pregnant","16",0.131578947368421
27,"marathon","16",0.0454545454545455
28,"soldier","16",1
29,"had tested positive","16",1
30,"elderly","16",0.0105263157894737
31,"staff members","16",0.956521739130435
32,"hydroxychloroquine hopes he","16",1
33,"smithfield","16",0.894736842105263
34,"recovering","16",0.25
35,"video","16",0.307692307692308
36,"nashville","16",0.560975609756098
37,"#businesses","16",0.125
38,"prove","16",0.635294117647059
39,"swimming","16",0.166666666666667
40,"patients given unproven","16",1
41,"manipulation","16",0.666666666666667
42,"no such thing","16",0.666666666666667
43,"substantial","16",0.0909090909090909
44,"already have antibodies","16",0.594594594594595
45,"unreal","16",0.666666666666667
46,"ne","16",0.0666666666666667
47,"patients","16",0.0148553557466771
48,"settle","16",0.142857142857143
49,"landed","16",0.111111111111111
50,"65","16",0.179487179487179
51,"protest","16",0.84375
52,"rehab","16",0.5
53,"st . louis","16",0.0078125
54,"nj","16",0.207317073170732
55,"nnat","16",0.2
56,"prisoners","16",0.714285714285714
57,"learners","16",0.2
58,"50","16",0.276315789473684
59,"houston","16",0.131868131868132
60,"hospice","16",0.75
61,"prison system","16",0.0666666666666667
62,"florence","16",1
63,"liberal treated with","16",1
64,"nnit's","16",0.0277777777777778
65,"62","16",0.0666666666666667
66,"missouri","16",0.0449438202247191
67,"maui","16",1
68,"rare","16",0.0588235294117647
69,"contractor","16",0.857142857142857
70,"filing","16",0.1
71,"van","16",0.833333333333333
72,"carrier","16",0.5625
73,"new jersey","16",0.214285714285714
74,"inside","16",0.465116279069767
75,"firefighter","16",1
76,"every person who","16",0.7
77,"babyface","16",0.923076923076923
78,"27","16",0.1
79,"residents","16",0.494163424124514
80,"including","16",0.00218340611353712
81,"pittsburgh","16",0.35
82,"victim","16",0.111111111111111
83,"ventilator","16",0.00813008130081301
84,"dies","16",0.986607142857143
85,"filthy","16",0.833333333333333
86,"revealed","16",0.26530612244898
87,"comedian tim brooke-taylor","16",1
88,"inflate","16",0.5
89,"detroit","16",0.137614678899083
90,"new york","16",0.102296450939457
91,"violations","16",0.833333333333333
92,"single","16",0.169354838709677
93,"latest","16",0.000363901018922853
94,"conditions","16",0.043956043956044
95,"mexican","16",0.157894736842105
96,"nnfor","16",0.0476190476190476
97,"springs","16",0.916666666666667
98,"battling","16",0.14792899408284
99,"ill","16",0.472727272727273
100,"report : 30","16",1
101,"federal prison","16",0.954545454545454
102,"ten","16",0.275862068965517
103,"at cook county","16",1
104,"south","16",0.16030534351145
105,"tested positive for","16",0.694656488549618
