id,"term","category",weight
1," - 50","16",23
2," 1 billion","27",23
3," 1 million","27",20
4," 1,000","27",10
5," 1,200","26",11
6," 10 million","27",15
7," 10,000","27",9
8," 1500","25",37
9," 1m","27",10
10," 2 trillion","26",19
11," 200","27",11
12," 200","25",6
13," 2000","26",337
14," 25,000","9",1
15," 25,000","30",1
16," 25,000","2",4
17," 300","25",39
18," 5 billion","18",8
19," 5 million","27",7
20," 5 million","26",2
21," 5,000","27",8
22," 50 million","27",10
23," 500","27",12
24," 500","25",14
25," 600","27",7
26," 750 million","31",19
27," a","13",122
28," alexa doesn't","18",14
29," april 10th","37",7
30," april 11th","33",4
31," april 13","37",6
32," associates","39",13
33," brown","6",8
34," cbc news","6",23
35," ceo","6",10
36," complaint says","32",12
37," d","26",22
38," destroy","31",25
39," garnering criticism","16",2
40," genomes show","36",11
41," gild","5",4
42," gild","24",8
43," golden","7",15
44," herd immunity","0",6
45," hopi","27",15
46," jeff dunham","27",23
47," johns hopkins","3",36
48," johnson","5",8
49," kelly rowland","0",13
50," miami","36",15
51," miami herald","32",14
52," mn","23",84
53," nejm","24",43
54," of","8",148
55," off","38",10
56," p","1",19
57," participate","12",15
58," retweet","25",78
59," so-called","7",14
60," studies suggest","20",1
61," survival rate","28",28
62," survival rate","5",76
63," sweden","2",27
64," the guardian","31",21
65," would","27",28
66," zero","22",15
67," zero hedge","18",39
68," zero hedge","12",22
69,"# ' s","10",3
70,"# ' s","21",3
71,"# ' s","8",10
72,"# 1","3",85
73,"#19","38",17
74,"#2020","33",47
75,"#2020election","0",16
76,"#25thamendmentnow","0",11
77,"#3dprinting","9",13
78,"#5g","18",58
79,"#6feetapart","33",11
80,"#70days","0",7
81,"#8nn","35",5
82,"#8nn","37",8
83,"#ados","32",3
84,"#ados","8",6
85,"#africa","32",34
86,"#africanamericans","8",12
87,"#ai","10",17
88,"#ai","9",42
89,"#airpollution","20",3
90,"#airpollution","8",10
91,"#alabama","16",4
92,"#alabama","36",10
93,"#allergies","24",5
94,"#allergies","31",2
95,"#allergies","38",2
96,"#allinillinois","33",8
97,"#allinthistogether","27",4
98,"#allinthistogether","33",7
99,"#alonetogether","33",33
100,"#amazon","15",12
101,"#amazon","38",17
102,"#america","33",12
103,"#america","0",25
104,"#americafirst","0",12
105,"#american","33",14
106,"#americans","0",27
107,"#americaworkstogether","33",9
108,"#amwriting ","33",14
109,"#animalcrossing","33",8
110,"#animals","33",12
111,"#anthonyfauci","19",8
112,"#anxiety","34",36
113,"#apple","9",14
114,"#apple and ","9",12
115,"#ards","19",12
116,"#arizona","35",8
117,"#arizona","4",8
118,"#arizona","37",8
119,"#arizona","36",7
120,"#arkansas","35",16
121,"#art","33",33
122,"#artificialintelligence","32",2
123,"#artificialintelligence","9",10
124,"#artists","33",12
125,"#atlanta","33",14
126,"#auspol","33",13
127,"#austin","33",14
128,"#australia","10",9
129,"#autism","12",8
130,"#b2b","34",14
131,"#baltimore","4",10
132,"#baseball","14",12
133,"#bayarea","27",9
134,"#bbc","31",9
135,"#beer","33",8
136,"#bernie2020","0",10
137,"#bernieontheballot","0",11
138,"#besafe","33",28
139,"#bettertogether","33",2
140,"#bettertogether","1",5
141,"#biden","0",8
142,"#biden2020","0",13
143,"#biden2020","14",2
144,"#bigdata","9",18
145,"#billgates","5",23
146,"#billgates","0",22
147,"#biotech","5",13
148,"#bitcoin","33",20
149,"#black","18",12
150,"#blacklivesmatter","18",8
151,"#blacklivesmatter","8",2
152,"#blacktwitter","33",19
153,"#blessed","33",7
154,"#blog","31",14
155,"#bored","33",21
156,"#bored","30",5
157,"#boredinthehouse","30",14
158,"#borisjohnson","25",27
159,"#boston","33",25
160,"#breaking","16",75
161,"#breaking","3",43
162,"#breaking","21",107
163,"#breakingnews","33",12
164,"#breakingnews","25",19
165,"#breakingnus gov't","0",19
166,"#brooklyn","33",9
167,"#business","26",13
168,"#business","1",48
169,"#businesses","2",6
170,"#ca","33",13
171,"#ca","14",4
172,"#california","33",31
173,"#california","4",25
174,"#california","36",29
175,"#california","22",14
176,"#californialockdown","30",14
177,"#canada","39",15
178,"#cancer","24",20
179,"#cancer","39",8
180,"#cannabis","7",5
181,"#cannabis","31",7
182,"#capitalism","1",10
183,"#cardib","33",12
184,"#caresact","26",30
185,"#caresact","13",19
186,"#cats","38",11
187,"#caturday","38",15
188,"#ccp","18",29
189,"#cdc","17",16
190,"#cdc","8",16
191,"#cdc","0",39
192,"#ceo","34",8
193,"#ceridian","31",3
194,"#ceridian","34",9
195,"#ceridian","14",2
196,"#charity","32",7
197,"#chicago","33",56
198,"#children","33",11
199,"#china","18",234
200,"#china's","31",11
201,"#chinaliedandpeopledied","18",22
202,"#chinaliedpeopledied","18",30
203,"#chinamustexplain","18",15
204,"#chinese","18",10
205,"#chinese","29",8
206,"#chloroquine","5",13
207,"#christian","27",2
208,"#christian","33",5
209,"#christians","33",12
210,"#church","33",26
211,"#classof2020","14",11
212,"#climatechange","10",21
213,"#climatechange","7",17
214,"#climatecrisis","7",15
215,"#clinicaltrial","5",8
216,"#clinicaltrial","1",3
217,"#clinicaltrials","5",12
218,"#clinicaltrials","1",8
219,"#cloud","9",9
220,"#cloud","13",5
221,"#cnn","0",38
222,"#cnntownhall","24",61
223,"#coffee","33",9
224,"#college","14",16
225,"#colorado","17",3
226,"#colorado","9",5
227,"#colorado","39",5
228,"#comedy","33",28
229,"#community","27",12
230,"#community","33",20
231,"#compassion","28",6
232,"#compassion","24",2
233,"#congress","27",10
234,"#connecticut","36",13
235,"#construction","1",20
236,"#contacttracing","9",18
237,"#cre","1",41
238,"#criminal","37",14
239,"#crisis","34",19
240,"#crypto","31",12
241,"#cuba","32",2
242,"#cuba","13",4
243,"#cuba","35",6
244,"#cult45","16",2
245,"#cult45","0",8
246,"#cuomo","15",4
247,"#cuomo","0",9
248,"#cybercrimnals ","37",14
249,"#cyberfraud ","37",14
250,"#cybersecurity","10",29
251,"#cybersecurity","31",15
252,"#dallas","36",12
253,"#data","11",18
254,"#data","9",13
255,"#data","13",6
256,"#datascience","24",5
257,"#datascience","23",4
258,"#dc","10",5
259,"#dc","27",11
260,"#dc","30",3
261,"#death","16",2
262,"#death","32",2
263,"#death","8",9
264,"#deaths","3",22
265,"#deepstate","0",14
266,"#democrat","18",7
267,"#denver","20",10
268,"#depression","33",9
269,"#depression","0",4
270,"#design","30",4
271,"#design","13",1
272,"#design","2",1
273,"#design","12",1
274,"#detroit","38",10
275,"#detroit","36",13
276,"#diabetes","13",8
277,"#diabetes","8",4
278,"#digital","34",14
279,"#digitalhealth","34",16
280,"#digitalmarketing","34",18
281,"#digitaltransformation","20",4
282,"#digitaltransformation","33",7
283,"#digitaltransformation","9",6
